event.id,investigation.type,accident.number,event.date,location,country,injury.severity,aircraft.damage,aircraft.category,registration.number,make,model,amateur.built,far.description,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,publication.date,total_passengers,fatal_serious_fraction,is_destroyed,make_model
20190718X14025,Incident,DCA19WA183,2019-07-09,"Harare, Zimbabwe",Zimbabwe,,Minor,Airplane,PH-CKA,boeing,747,No,NUSC,0.0,0.0,0.0,0.0,26-09-2020,0.0,0.0,0,boeing_747
20190710X24338,Accident,GAA19CA466,2019-07-10,"Palatka, FL",United States,Non-Fatal,Substantial,Airplane,N805PA,diamond,da.42.ng,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,diamond_da.42.ng
20190710X85327,Accident,CEN19LA217,2019-07-10,"Ypsilanti, MI",United States,Non-Fatal,Substantial,Airplane,N2930Y,piper,pa34,No,091,0.0,2.0,0.0,0.0,13-12-2021,2.0,1.0,0,piper_pa34
20190711X21021,Accident,GAA19CA398,2019-07-10,"Petersburg, VA",United States,Non-Fatal,Substantial,Airplane,N757PU,cessna,r182,No,091,0.0,0.0,0.0,2.0,26-09-2020,2.0,0.0,0,cessna_r182
20190711X52011,Accident,GAA19CA404,2019-07-10,"Saipan,",United States,Non-Fatal,Substantial,Airplane,N6733F,piper,pa28,No,091,0.0,0.0,0.0,3.0,26-09-2020,3.0,0.0,0,piper_pa28
20190717X91032,Accident,GAA19CA430,2019-07-10,"Wasilla, AK",United States,Non-Fatal,Substantial,Airplane,N4245J,piper,pa28,No,091,0.0,0.0,0.0,4.0,26-09-2020,4.0,0.0,0,piper_pa28
20190807X11255,Accident,WPR19WA211,2019-07-10,"Anji, China",China,Fatal,Unknown,Airplane,B-10NH,cessna,172,No,UNK,1.0,1.0,1.0,0.0,26-09-2020,3.0,0.6666666666666666,0,cessna_172
20191022X60926,Accident,ENG19WA040,2019-07-10,"Airdrome Jorge Efrain, Mexico",Mexico,Non-Fatal,Substantial,Airplane,XB-GBA,air.tractor,at301,No,UNK,0.0,1.0,0.0,0.0,26-09-2020,1.0,1.0,0,air.tractor_at301
20190711X23056,Accident,ANC19FA033,2019-07-11,"Ketchikan, AK",United States,Fatal,Substantial,Airplane,N5840P,piper,pa.24-180,No,091,1.0,0.0,0.0,0.0,15-07-2021,1.0,1.0,0,piper_pa.24-180
20190711X41957,Accident,GAA19CA402,2019-07-11,"Talkeetna, AK",United States,Non-Fatal,Substantial,Airplane,N91299,cessna,180,No,091,0.0,0.0,0.0,1.0,26-09-2020,1.0,0.0,0,cessna_180
